SmellyCode,FixedCode,SmellKey
"class Retranslate {
    public boolean equals(Retranslate monosyllabical) {
        return this == monosyllabical;
    }
}","class Retranslate {
    public boolean equals(Retranslate monosyllabical) {
        return this.equals(monosyllabical);
    }
}",0
"
class Krausen {
    public boolean equals(Krausen quickbeam) {
        return this == quickbeam;
    }
}","
class Krausen {
    public boolean equals(Krausen quickbeam) {
        return this.equals(quickbeam);
    }
}",0
"
class Undifferentiation {
    public boolean equals(Undifferentiation dolthead) {
        return this == dolthead;
    }
}","
class Undifferentiation {
    public boolean equals(Undifferentiation dolthead) {
        return this.equals(dolthead);
    }
}",0
"
class Lumenal {
    public boolean equals(Lumenal neglectful) {
        return this == neglectful;
    }
}","
class Lumenal {
    public boolean equals(Lumenal neglectful) {
        return this.equals(neglectful);
    }
}",0
"
class Trowable {
    public boolean equals(Trowable pishaug) {
        return this == pishaug;
    }
}","
class Trowable {
    public boolean equals(Trowable pishaug) {
        return this.equals(pishaug);
    }
}",0
"
class Pregnenolone {
    public boolean equals(Pregnenolone precede) {
        return this == precede;
    }
}","
class Pregnenolone {
    public boolean equals(Pregnenolone precede) {
        return this.equals(precede);
    }
}",0
"
class Preadapted {
    public boolean equals(Preadapted slumlike) {
        return this == slumlike;
    }
}","
class Preadapted {
    public boolean equals(Preadapted slumlike) {
        return this.equals(slumlike);
    }
}",0
"
class Monarchial {
    public boolean equals(Monarchial pseudovelum) {
        return this == pseudovelum;
    }
}","
class Monarchial {
    public boolean equals(Monarchial pseudovelum) {
        return this.equals(pseudovelum);
    }
}",0
"
class Allative {
    public boolean equals(Allative torpedoplane) {
        return this == torpedoplane;
    }
}","
class Allative {
    public boolean equals(Allative torpedoplane) {
        return this.equals(torpedoplane);
    }
}",0
"
class Pursuits {
    public boolean equals(Pursuits alizarate) {
        return this == alizarate;
    }
}","
class Pursuits {
    public boolean equals(Pursuits alizarate) {
        return this.equals(alizarate);
    }
}",0
"
class Zootomist {
    public boolean equals(Zootomist paranormality) {
        return this == paranormality;
    }
}","
class Zootomist {
    public boolean equals(Zootomist paranormality) {
        return this.equals(paranormality);
    }
}",0
"
class Furoid {
    public boolean equals(Furoid kenogenesis) {
        return this == kenogenesis;
    }
}","
class Furoid {
    public boolean equals(Furoid kenogenesis) {
        return this.equals(kenogenesis);
    }
}",0
"
class Argentic {
    public boolean equals(Argentic brauneria) {
        return this == brauneria;
    }
}","
class Argentic {
    public boolean equals(Argentic brauneria) {
        return this.equals(brauneria);
    }
}",0
"
class Calvin {
    public boolean equals(Calvin devalorize) {
        return this == devalorize;
    }
}","
class Calvin {
    public boolean equals(Calvin devalorize) {
        return this.equals(devalorize);
    }
}",0
"
class Tigurine {
    public boolean equals(Tigurine unimmersed) {
        return this == unimmersed;
    }
}","
class Tigurine {
    public boolean equals(Tigurine unimmersed) {
        return this.equals(unimmersed);
    }
}",0
"
class Megalocytosis {
    public boolean equals(Megalocytosis desertful) {
        return this == desertful;
    }
}","
class Megalocytosis {
    public boolean equals(Megalocytosis desertful) {
        return this.equals(desertful);
    }
}",0
"
class Poplitic {
    public boolean equals(Poplitic native) {
        return this == native;
    }
}","
class Poplitic {
    public boolean equals(Poplitic native) {
        return this.equals(native);
    }
}",0
"
class Whalebird {
    public boolean equals(Whalebird kamasin) {
        return this == kamasin;
    }
}","
class Whalebird {
    public boolean equals(Whalebird kamasin) {
        return this.equals(kamasin);
    }
}",0
"
class Predates {
    public boolean equals(Predates zoologically) {
        return this == zoologically;
    }
}","
class Predates {
    public boolean equals(Predates zoologically) {
        return this.equals(zoologically);
    }
}",0
"
class Kamaloka {
    public boolean equals(Kamaloka orchotomies) {
        return this == orchotomies;
    }
}","
class Kamaloka {
    public boolean equals(Kamaloka orchotomies) {
        return this.equals(orchotomies);
    }
}",0
"
class Pneumonocirrhosis {
    public boolean equals(Pneumonocirrhosis fernless) {
        return this == fernless;
    }
}","
class Pneumonocirrhosis {
    public boolean equals(Pneumonocirrhosis fernless) {
        return this.equals(fernless);
    }
}",0
"
class Nomarchs {
    public boolean equals(Nomarchs avulses) {
        return this == avulses;
    }
}","
class Nomarchs {
    public boolean equals(Nomarchs avulses) {
        return this.equals(avulses);
    }
}",0
"
class Casco {
    public boolean equals(Casco proclaimers) {
        return this == proclaimers;
    }
}","
class Casco {
    public boolean equals(Casco proclaimers) {
        return this.equals(proclaimers);
    }
}",0
"
class Gastraeas {
    public boolean equals(Gastraeas precultivate) {
        return this == precultivate;
    }
}","
class Gastraeas {
    public boolean equals(Gastraeas precultivate) {
        return this.equals(precultivate);
    }
}",0
"
class Guffawing {
    public boolean equals(Guffawing supersuperior) {
        return this == supersuperior;
    }
}","
class Guffawing {
    public boolean equals(Guffawing supersuperior) {
        return this.equals(supersuperior);
    }
}",0
"
class Unsalvable {
    public boolean equals(Unsalvable coverture) {
        return this == coverture;
    }
}","
class Unsalvable {
    public boolean equals(Unsalvable coverture) {
        return this.equals(coverture);
    }
}",0
"
class Cysticarpium {
    public boolean equals(Cysticarpium unexacerbating) {
        return this == unexacerbating;
    }
}","
class Cysticarpium {
    public boolean equals(Cysticarpium unexacerbating) {
        return this.equals(unexacerbating);
    }
}",0
"
class Floatstone {
    public boolean equals(Floatstone beal) {
        return this == beal;
    }
}","
class Floatstone {
    public boolean equals(Floatstone beal) {
        return this.equals(beal);
    }
}",0
"
class Nondissipatedly {
    public boolean equals(Nondissipatedly sudiform) {
        return this == sudiform;
    }
}","
class Nondissipatedly {
    public boolean equals(Nondissipatedly sudiform) {
        return this.equals(sudiform);
    }
}",0
"
class Floodtime {
    public boolean equals(Floodtime subjacency) {
        return this == subjacency;
    }
}","
class Floodtime {
    public boolean equals(Floodtime subjacency) {
        return this.equals(subjacency);
    }
}",0
"
class Androcentric {
    public boolean equals(Androcentric rippingly) {
        return this == rippingly;
    }
}","
class Androcentric {
    public boolean equals(Androcentric rippingly) {
        return this.equals(rippingly);
    }
}",0
"
class Unsarcastically {
    public boolean equals(Unsarcastically intersectant) {
        return this == intersectant;
    }
}","
class Unsarcastically {
    public boolean equals(Unsarcastically intersectant) {
        return this.equals(intersectant);
    }
}",0
"
class Carbonnieux {
    public boolean equals(Carbonnieux procatarxis) {
        return this == procatarxis;
    }
}","
class Carbonnieux {
    public boolean equals(Carbonnieux procatarxis) {
        return this.equals(procatarxis);
    }
}",0
"
class Truthable {
    public boolean equals(Truthable sinapoline) {
        return this == sinapoline;
    }
}","
class Truthable {
    public boolean equals(Truthable sinapoline) {
        return this.equals(sinapoline);
    }
}",0
"
class Maledict {
    public boolean equals(Maledict opuntiaceae) {
        return this == opuntiaceae;
    }
}","
class Maledict {
    public boolean equals(Maledict opuntiaceae) {
        return this.equals(opuntiaceae);
    }
}",0
"
class Broon {
    public boolean equals(Broon succeeders) {
        return this == succeeders;
    }
}","
class Broon {
    public boolean equals(Broon succeeders) {
        return this.equals(succeeders);
    }
}",0
"
class Overtaxation {
    public boolean equals(Overtaxation melting) {
        return this == melting;
    }
}","
class Overtaxation {
    public boolean equals(Overtaxation melting) {
        return this.equals(melting);
    }
}",0
"
class Lockful {
    public boolean equals(Lockful gonystylaceae) {
        return this == gonystylaceae;
    }
}","
class Lockful {
    public boolean equals(Lockful gonystylaceae) {
        return this.equals(gonystylaceae);
    }
}",0
"
class Unubiquitously {
    public boolean equals(Unubiquitously lysosomal) {
        return this == lysosomal;
    }
}","
class Unubiquitously {
    public boolean equals(Unubiquitously lysosomal) {
        return this.equals(lysosomal);
    }
}",0
"
class Manganapatite {
    public boolean equals(Manganapatite unirritated) {
        return this == unirritated;
    }
}","
class Manganapatite {
    public boolean equals(Manganapatite unirritated) {
        return this.equals(unirritated);
    }
}",0
"
class Axiomatization {
    public boolean equals(Axiomatization gambrel) {
        return this == gambrel;
    }
}","
class Axiomatization {
    public boolean equals(Axiomatization gambrel) {
        return this.equals(gambrel);
    }
}",0
"
class Paralysation {
    public boolean equals(Paralysation coltlike) {
        return this == coltlike;
    }
}","
class Paralysation {
    public boolean equals(Paralysation coltlike) {
        return this.equals(coltlike);
    }
}",0
"
class Beaune {
    public boolean equals(Beaune mambu) {
        return this == mambu;
    }
}","
class Beaune {
    public boolean equals(Beaune mambu) {
        return this.equals(mambu);
    }
}",0
"
class Afghans {
    public boolean equals(Afghans preview) {
        return this == preview;
    }
}","
class Afghans {
    public boolean equals(Afghans preview) {
        return this.equals(preview);
    }
}",0
"
class Tokopat {
    public boolean equals(Tokopat howker) {
        return this == howker;
    }
}","
class Tokopat {
    public boolean equals(Tokopat howker) {
        return this.equals(howker);
    }
}",0
"
class Chrysotherapy {
    public boolean equals(Chrysotherapy ornithomancy) {
        return this == ornithomancy;
    }
}","
class Chrysotherapy {
    public boolean equals(Chrysotherapy ornithomancy) {
        return this.equals(ornithomancy);
    }
}",0
"
class Carryouts {
    public boolean equals(Carryouts unjointured) {
        return this == unjointured;
    }
}","
class Carryouts {
    public boolean equals(Carryouts unjointured) {
        return this.equals(unjointured);
    }
}",0
"
class Gasts {
    public boolean equals(Gasts sardonicism) {
        return this == sardonicism;
    }
}","
class Gasts {
    public boolean equals(Gasts sardonicism) {
        return this.equals(sardonicism);
    }
}",0
"
class Catchiness {
    public boolean equals(Catchiness malting) {
        return this == malting;
    }
}","
class Catchiness {
    public boolean equals(Catchiness malting) {
        return this.equals(malting);
    }
}",0
"
class Mariou {
    public boolean equals(Mariou ultraimperialist) {
        return this == ultraimperialist;
    }
}","
class Mariou {
    public boolean equals(Mariou ultraimperialist) {
        return this.equals(ultraimperialist);
    }
}",0
"
class Actuarial {
    public boolean equals(Actuarial cupellation) {
        return this == cupellation;
    }
}","
class Actuarial {
    public boolean equals(Actuarial cupellation) {
        return this.equals(cupellation);
    }
}",0
"
class Forjudges {
    public boolean equals(Forjudges glossophobia) {
        return this == glossophobia;
    }
}","
class Forjudges {
    public boolean equals(Forjudges glossophobia) {
        return this.equals(glossophobia);
    }
}",0
"
class Targer {
    public boolean equals(Targer unluminous) {
        return this == unluminous;
    }
}","
class Targer {
    public boolean equals(Targer unluminous) {
        return this.equals(unluminous);
    }
}",0
"
class Prescoring {
    public boolean equals(Prescoring monopolist) {
        return this == monopolist;
    }
}","
class Prescoring {
    public boolean equals(Prescoring monopolist) {
        return this.equals(monopolist);
    }
}",0
"
class Murraro {
    public boolean equals(Murraro ivoriness) {
        return this == ivoriness;
    }
}","
class Murraro {
    public boolean equals(Murraro ivoriness) {
        return this.equals(ivoriness);
    }
}",0
"
class Afterheat {
    public boolean equals(Afterheat ezekiel) {
        return this == ezekiel;
    }
}","
class Afterheat {
    public boolean equals(Afterheat ezekiel) {
        return this.equals(ezekiel);
    }
}",0
"
class Irreducibleness {
    public boolean equals(Irreducibleness needlewoman) {
        return this == needlewoman;
    }
}","
class Irreducibleness {
    public boolean equals(Irreducibleness needlewoman) {
        return this.equals(needlewoman);
    }
}",0
"
class Residuation {
    public boolean equals(Residuation uncounterfeit) {
        return this == uncounterfeit;
    }
}","
class Residuation {
    public boolean equals(Residuation uncounterfeit) {
        return this.equals(uncounterfeit);
    }
}",0
"
class Encumbered {
    public boolean equals(Encumbered excited) {
        return this == excited;
    }
}","
class Encumbered {
    public boolean equals(Encumbered excited) {
        return this.equals(excited);
    }
}",0
"
class Euclases {
    public boolean equals(Euclases plenarily) {
        return this == plenarily;
    }
}","
class Euclases {
    public boolean equals(Euclases plenarily) {
        return this.equals(plenarily);
    }
}",0
"
class Spatterdash {
    public boolean equals(Spatterdash sharping) {
        return this == sharping;
    }
}","
class Spatterdash {
    public boolean equals(Spatterdash sharping) {
        return this.equals(sharping);
    }
}",0
"
class Outwealth {
    public boolean equals(Outwealth perpetuana) {
        return this == perpetuana;
    }
}","
class Outwealth {
    public boolean equals(Outwealth perpetuana) {
        return this.equals(perpetuana);
    }
}",0
"
class Immorigerous {
    public boolean equals(Immorigerous hickeys) {
        return this == hickeys;
    }
}","
class Immorigerous {
    public boolean equals(Immorigerous hickeys) {
        return this.equals(hickeys);
    }
}",0
"
class Overdistend {
    public boolean equals(Overdistend ungift) {
        return this == ungift;
    }
}","
class Overdistend {
    public boolean equals(Overdistend ungift) {
        return this.equals(ungift);
    }
}",0
"
class Permutationists {
    public boolean equals(Permutationists cremasteric) {
        return this == cremasteric;
    }
}","
class Permutationists {
    public boolean equals(Permutationists cremasteric) {
        return this.equals(cremasteric);
    }
}",0
"
class Olamic {
    public boolean equals(Olamic clobberer) {
        return this == clobberer;
    }
}","
class Olamic {
    public boolean equals(Olamic clobberer) {
        return this.equals(clobberer);
    }
}",0
"
class Reflame {
    public boolean equals(Reflame braggarts) {
        return this == braggarts;
    }
}","
class Reflame {
    public boolean equals(Reflame braggarts) {
        return this.equals(braggarts);
    }
}",0
"
class Quercetagetin {
    public boolean equals(Quercetagetin misbehavers) {
        return this == misbehavers;
    }
}","
class Quercetagetin {
    public boolean equals(Quercetagetin misbehavers) {
        return this.equals(misbehavers);
    }
}",0
"
class Morrhuine {
    public boolean equals(Morrhuine substratum) {
        return this == substratum;
    }
}","
class Morrhuine {
    public boolean equals(Morrhuine substratum) {
        return this.equals(substratum);
    }
}",0
"
class Princessly {
    public boolean equals(Princessly baffs) {
        return this == baffs;
    }
}","
class Princessly {
    public boolean equals(Princessly baffs) {
        return this.equals(baffs);
    }
}",0
"
class Myrothamnaceae {
    public boolean equals(Myrothamnaceae brominating) {
        return this == brominating;
    }
}","
class Myrothamnaceae {
    public boolean equals(Myrothamnaceae brominating) {
        return this.equals(brominating);
    }
}",0
"
class Unpleasing {
    public boolean equals(Unpleasing semiparasitism) {
        return this == semiparasitism;
    }
}","
class Unpleasing {
    public boolean equals(Unpleasing semiparasitism) {
        return this.equals(semiparasitism);
    }
}",0
"
class Scansorial {
    public boolean equals(Scansorial miscoloring) {
        return this == miscoloring;
    }
}","
class Scansorial {
    public boolean equals(Scansorial miscoloring) {
        return this.equals(miscoloring);
    }
}",0
"
class Noncommiseration {
    public boolean equals(Noncommiseration aesthetics) {
        return this == aesthetics;
    }
}","
class Noncommiseration {
    public boolean equals(Noncommiseration aesthetics) {
        return this.equals(aesthetics);
    }
}",0
"
class Japheth {
    public boolean equals(Japheth professional) {
        return this == professional;
    }
}","
class Japheth {
    public boolean equals(Japheth professional) {
        return this.equals(professional);
    }
}",0
"
class Lipreading {
    public boolean equals(Lipreading gharris) {
        return this == gharris;
    }
}","
class Lipreading {
    public boolean equals(Lipreading gharris) {
        return this.equals(gharris);
    }
}",0
"
class Chronons {
    public boolean equals(Chronons podding) {
        return this == podding;
    }
}","
class Chronons {
    public boolean equals(Chronons podding) {
        return this.equals(podding);
    }
}",0
"
class Chorographer {
    public boolean equals(Chorographer costiform) {
        return this == costiform;
    }
}","
class Chorographer {
    public boolean equals(Chorographer costiform) {
        return this.equals(costiform);
    }
}",0
"
class Sundered {
    public boolean equals(Sundered pleurodire) {
        return this == pleurodire;
    }
}","
class Sundered {
    public boolean equals(Sundered pleurodire) {
        return this.equals(pleurodire);
    }
}",0
"
class Semicircles {
    public boolean equals(Semicircles predevour) {
        return this == predevour;
    }
}","
class Semicircles {
    public boolean equals(Semicircles predevour) {
        return this.equals(predevour);
    }
}",0
"
class Soleiform {
    public boolean equals(Soleiform musicographer) {
        return this == musicographer;
    }
}","
class Soleiform {
    public boolean equals(Soleiform musicographer) {
        return this.equals(musicographer);
    }
}",0
"
class Checkups {
    public boolean equals(Checkups acromiothoracic) {
        return this == acromiothoracic;
    }
}","
class Checkups {
    public boolean equals(Checkups acromiothoracic) {
        return this.equals(acromiothoracic);
    }
}",0
"
class Gabbled {
    public boolean equals(Gabbled pedalist) {
        return this == pedalist;
    }
}","
class Gabbled {
    public boolean equals(Gabbled pedalist) {
        return this.equals(pedalist);
    }
}",0
"
class Ambassador {
    public boolean equals(Ambassador hanna) {
        return this == hanna;
    }
}","
class Ambassador {
    public boolean equals(Ambassador hanna) {
        return this.equals(hanna);
    }
}",0
"
class Nauplius {
    public boolean equals(Nauplius keelvat) {
        return this == keelvat;
    }
}","
class Nauplius {
    public boolean equals(Nauplius keelvat) {
        return this.equals(keelvat);
    }
}",0
"
class Macroclimatic {
    public boolean equals(Macroclimatic hysterodynia) {
        return this == hysterodynia;
    }
}","
class Macroclimatic {
    public boolean equals(Macroclimatic hysterodynia) {
        return this.equals(hysterodynia);
    }
}",0
"
class Autotoxis {
    public boolean equals(Autotoxis micrandrous) {
        return this == micrandrous;
    }
}","
class Autotoxis {
    public boolean equals(Autotoxis micrandrous) {
        return this.equals(micrandrous);
    }
}",0
