old_code,fixed_code,SmellRule
"{""function"": ""public boolean doSave(Carrello bean) throws SQLException\n{\nConnection con = null;\nPreparedStatement psEffettua = null;\nPreparedStatement psCarrello = null;\nPreparedStatement psHa = null;\nPreparedStatement psCarrelloId = null;\nPreparedStatement psTaglia = null;\nString sqlEffettua = ""INSERT INTO effettua(username) VALUES(?)"";\nString sqlCarrello = ""INSERT INTO ordine(username, riepilogo) VALUES(?,?)"";\nString sqlHa = ""INSERT INTO ha(codiceOrdine, codiceScarpa) VALUES(?,?)"";\nString getCarrelloId = ""SELECT MAX(codice) FROM ordine"";\nString sqlTaglia = ""INSERT INTO taglia(taglia, codiceScarpa, codiceOrdine) VALUES(?,?,?)"";\ntry {\ncon = ds.getConnection();\ncon.setAutoCommit(false);\npsEffettua = con.prepareStatement(sqlEffettua);\npsEffettua.setString(1, bean.getUsername());\npsEffettua.executeUpdate();\npsCarrello = con.prepareStatement(sqlCarrello);\npsCarrello.setString(1, bean.getUsername());\nString riepilogo = bean.getScarpe() + ""<br>Totale: "" + bean.getScarpe().parallelStream().mapToDouble(c -> c.getPrezzo()).sum();\npsCarrello.setString(2, riepilogo);\npsCarrello.executeUpdate();\ncon.commit();\npsCarrelloId = con.prepareStatement(getCarrelloId);\nResultSet rs = psCarrelloId.executeQuery();\nrs.next();\nint codiceCarrello = rs.getInt(""max(codice)"");\npsTaglia = con.prepareStatement(sqlTaglia);\npsHa = con.prepareStatement(sqlHa);\npsTaglia.setInt(3, codiceCarrello);\npsHa.setInt(1, codiceCarrello);\nfor (ScarpaOrdine s : bean.getScarpe()) {\npsHa.setInt(2, s.getId());\npsHa.executeUpdate();\npsTaglia.setInt(1, s.getTaglia());\npsTaglia.setInt(2, s.getId());\npsTaglia.executeUpdate();\n}\ncon.commit();\n} catch (SQLException e) {\ne.printStackTrace();\nreturn false;\n} finally {\ntry {\nif (psHa != null)\npsHa.close();\nif (psCarrello != null)\npsCarrello.close();\nif (psEffettua != null)\npsEffettua.close();\nif (psCarrelloId != null)\npsCarrelloId.close();\n} finally {\nif (con != null)\ncon.close();\n}\n}\nreturn true;\n}\n""}","{""function"": ""public boolean doSave(Carrello bean) throws SQLException\n{\nConnection con = null;\nPreparedStatement psEffettua = null;\nPreparedStatement psCarrello = null;\nPreparedStatement psHa = null;\nPreparedStatement psCarrelloId = null;\nPreparedStatement psTaglia = null;\nString sqlEffettua = ""INSERT INTO effettua(username) VALUES(?)"";\nString sqlCarrello = ""INSERT INTO ordine(username, riepilogo) VALUES(?,?)"";\nString sqlHa = ""INSERT INTO ha(codiceOrdine, codiceScarpa) VALUES(?,?)"";\nString getCarrelloId = ""SELECT MAX(codice) FROM ordine"";\nString sqlTaglia = ""INSERT INTO taglia(taglia, codiceScarpa, codiceOrdine) VALUES(?,?,?)"";\ntry {\ncon = ds.getConnection();\ncon.setAutoCommit(false);\npsEffettua = con.prepareStatement(sqlEffettua);\npsEffettua.setString(1, bean.getUsername());\npsEffettua.executeUpdate();\npsCarrello = con.prepareStatement(sqlCarrello);\npsCarrello.setString(1, bean.getUsername());\nString riepilogo = bean.getScarpe() + ""<br>Totale: "" + bean.getScarpe().parallelStream().mapToDouble(c -> c.getPrezzo()).sum();\npsCarrello.setString(2, riepilogo);\npsCarrello.executeUpdate();\ncon.commit();\npsCarrelloId = con.prepareStatement(getCarrelloId);\nResultSet rs = psCarrelloId.executeQuery();\nrs.next();\nint codiceCarrello = rs.getInt(""max(codice)"");\npsTaglia = con.prepareStatement(sqlTaglia);\npsHa = con.prepareStatement(sqlHa);\npsTaglia.setInt(3, codiceCarrello);\npsHa.setInt(1, codiceCarrello);\nfor (ScarpaOrdine s : bean.getScarpe()) {\npsHa.setInt(2, s.getId());\npsHa.executeUpdate();\npsTaglia.setInt(1, s.getTaglia());\npsTaglia.setInt(2, s.getId());\npsTaglia.executeUpdate();\n}\ncon.commit();\n} catch (SQLException e) {\ne.printStackTrace();\nreturn false;\n} finally {\ntry {\nif (psHa != null)\npsHa.close();\nif (psCarrello != null)\npsCarrello.close();\nif (psEffettua != null)\npsEffettua.close();\nif (psCarrelloId != null)\npsCarrelloId.close();\n} finally {\nif (con != null)\ncon.close();\n}\n}\nreturn true;\n}\n""}","java:S106
"
"{""function"": ""public Collection<Carrello> doRetrieveAll() throws SQLException\n{\nreturn null;\n}\n""}","{""function"": ""public Collection<Carrello> doRetrieveAll() throws SQLException\n{\nConnection con = null;\nPreparedStatement ps = null;\nResultSet rs = null;\nString sql = ""SELECT * FROM ordine"";\nCollection<Carrello> ordini = new LinkedList<>();\ntry {\ncon = ds.getConnection();\nps = con.prepareStatement(sql);\nrs = ps.executeQuery();\nwhile (rs.next()) {\nCarrello c = new Carrello();\nc.setUsername(rs.getString(""username""));\nc.setRiepilogo(rs.getString(""riepilogo""));\nordini.add(c);\n}\n} finally {\ntry {\nif (ps != null)\nps.close();\n} finally {\nif (con != null)\ncon.close();\n}\n}\nreturn ordini;\n}\n""}","java:S1168
"
"{""function"": ""public Collection<Carrello> getOrdini(String username) throws SQLException\n{\nConnection con = null;\nPreparedStatement psOrdine = null;\nPreparedStatement psScarpe = null;\nResultSet rsOrdine = null;\nResultSet rsScarpe = null;\nCollection<Carrello> ordini = new LinkedList<>();\nScarpaDataSource sds = new ScarpaDataSource();\nString sqlOrdine = ""SELECT codice FROM ordine WHERE username=?"";\nString sqlScarpe = ""SELECT DISTINCT(t.codiceScarpa), t.taglia FROM ha, taglia as t WHERE ha.codiceOrdine=? and t.codiceOrdine=ha.codiceOrdine"";\ntry {\ncon = ds.getConnection();\npsOrdine = con.prepareStatement(sqlOrdine);\npsScarpe = con.prepareStatement(sqlScarpe);\npsOrdine.setString(1, username);\nrsOrdine = psOrdine.executeQuery();\nwhile (rsOrdine.next()) {\nCarrello c = new Carrello();\nc.setUsername(username);\nint codiceCarrello = rsOrdine.getInt(""codice"");\nc.setCodice(codiceCarrello);\npsScarpe.setInt(1, codiceCarrello);\nrsScarpe = psScarpe.executeQuery();\nwhile (rsScarpe.next()) {\nint codiceScarpa = rsScarpe.getInt(""codiceScarpa"");\nint taglia = rsScarpe.getInt(""taglia"");\nScarpaOrdine s = new ScarpaOrdine(sds.doRetrieveByKey(codiceScarpa + """"));\ns.setTaglia(taglia);\nc.getScarpe().add(s);\n}\nordini.add(c);\n}\n} finally {\ntry {\nif (psOrdine != null)\npsOrdine.close();\nif (psScarpe != null)\npsScarpe.close();\n} finally {\nif (con != null)\ncon.close();\n}\n}\nreturn ordini;\n}\n""}","{""function"": ""public Collection<Carrello> getOrdini(String username) throws SQLException\n{\nConnection con = null;\nPreparedStatement psOrdine = null;\nResultSet rsOrdine = null;\nCollection<Carrello> ordini = new LinkedList<>();\nString sqlOrdine = ""SELECT riepilogo FROM ordine WHERE username=?"";\ntry {\ncon = ds.getConnection();\npsOrdine = con.prepareStatement(sqlOrdine);\npsOrdine.setString(1, username);\nrsOrdine = psOrdine.executeQuery();\nwhile (rsOrdine.next()) {\nCarrello c = new Carrello();\nc.setRiepilogo(rsOrdine.getString(""riepilogo""));\nordini.add(c);\n}\n} finally {\ntry {\nif (psOrdine != null)\npsOrdine.close();\n} finally {\nif (con != null)\ncon.close();\n}\n}\nreturn ordini;\n}\n""}","java:S2095
"
"{""function"": ""public Collection<Carrello> doRetrieveAll() throws SQLException\n{\nConnection con = null;\nPreparedStatement psOrdine = null;\nPreparedStatement psHa = null;\nResultSet rsOrdine = null;\nResultSet rsHa = null;\nCollection<Carrello> ordini = new LinkedList<>();\nString sqlOrdine = ""SELECT * FROM ORDINE"";\nString sqlHa = ""SELECT codiceScarpa FROM ha WHERE codiceOrdine=?"";\ntry {\ncon = ds.getConnection();\npsHa = con.prepareStatement(sqlHa);\npsOrdine = con.prepareStatement(sqlOrdine);\nrsOrdine = psOrdine.executeQuery();\nwhile (rsOrdine.next()) {\npsHa.setInt(1, rsOrdine.getInt(""codice""));\nrsHa = psHa.executeQuery();\nCarrello carrello = new Carrello();\nwhile (rsHa.next()) {\nScarpa s = new Scarpa();\ns.setId(rsHa.getInt(""codiceScarpa""));\ncarrello.getScarpe().add(s);\n}\ncarrello.setCodice(rsOrdine.getInt(""codice""));\ncarrello.setUsername(rsOrdine.getString(""username""));\nordini.add(carrello);\n}\n} finally {\ntry {\nif (psOrdine != null)\npsOrdine.close();\nif (psHa != null)\npsHa.close();\n} finally {\nif (con != null)\ncon.close();\n}\n}\nreturn ordini;\n}\n""}","{""function"": ""public Collection<Carrello> doRetrieveAll() throws SQLException\n{\nreturn null;\n}\n""}","java:S2095
"
"{""function"": ""public ArrayList<ScarpaOrdine> getScarpe()\n{\nreturn scarpe;\n}\n""}","{""function"": ""public List<ScarpaOrdine> getScarpe()\n{\nreturn scarpe;\n}\n""}","java:S1319
"
"{""function"": ""public void setScarpe(ArrayList<ScarpaOrdine> scarpe)\n{\nthis.scarpe = scarpe;\n}\n""}","{""function"": ""public void setScarpe(List<ScarpaOrdine> scarpe)\n{\nthis.scarpe = scarpe;\n}\n""}","java:S1319
"
"{""function"": ""public boolean doSave(Carrello bean) throws SQLException\n{\nConnection con = null;\nPreparedStatement psCarrello = null;\nPreparedStatement psHa = null;\nString sqlCarrello = ""INSERT INTO ordine(codice) VALUES(?)"";\nString sqlHa = ""INSERT INTO ha(codiceScarpa) VALUES(?)"";\ntry {\ncon = ds.getConnection();\ncon.setAutoCommit(false);\npsCarrello = con.prepareStatement(sqlCarrello);\npsCarrello.setInt(1, bean.getCodice());\npsHa = con.prepareStatement(sqlHa);\nfor (Scarpa s : bean.getScarpe()) psHa.setInt(1, s.getId());\n} catch (SQLException e) {\ne.printStackTrace();\n} finally {\ntry {\nif (psHa != null)\npsHa.close();\nif (psCarrello != null)\npsCarrello.close();\n} finally {\ncon.close();\n}\n}\nreturn true;\n}\n""}","{""function"": ""public boolean doSave(Carrello bean) throws SQLException\n{\nConnection con = null;\nPreparedStatement psEffettua = null;\nPreparedStatement psCarrello = null;\nPreparedStatement psHa = null;\nString sqlEffettua = ""INSEERT INTO effettua(username) VALUES(?)"";\nString sqlCarrello = ""INSERT INTO ordine(username) VALUES(?)"";\nString sqlHa = ""INSERT INTO ha(codiceScarpa) VALUES(?)"";\ntry {\ncon = ds.getConnection();\ncon.setAutoCommit(false);\npsEffettua = con.prepareStatement(sqlEffettua);\npsEffettua.setString(1, bean.getUsername());\npsEffettua.executeUpdate();\npsCarrello = con.prepareStatement(sqlCarrello);\npsCarrello.setString(1, bean.getUsername());\npsCarrello.executeUpdate();\npsHa = con.prepareStatement(sqlHa);\nfor (Scarpa s : bean.getScarpe()) {\npsHa.setInt(1, s.getId());\npsHa.executeUpdate();\n}\ncon.commit();\n} catch (SQLException e) {\ne.printStackTrace();\nreturn false;\n} finally {\ntry {\nif (psHa != null)\npsHa.close();\nif (psCarrello != null)\npsCarrello.close();\n} finally {\nif (con != null)\ncon.close();\n}\n}\nreturn true;\n}\n""}","java:S2259
"
"{""function"": ""public boolean doDelete(String nome) throws SQLException\n{\nreturn false;\n}\n""}","{""function"": ""public boolean doDelete(String nome) throws SQLException\n{\nreturn false;\n}\n""}","java:S1135
"
"{""function"": ""public boolean doDelete(String nome) throws SQLException\n{\nreturn false;\n}\n""}","{""function"": ""public boolean doDelete(String nome) throws SQLException\n{\nreturn false;\n}\n""}","java:S1135
"
"{""function"": ""public Carrello doRetrieveByKey(String code) throws SQLException\n{\nreturn null;\n}\n""}","{""function"": ""public Carrello doRetrieveByKey(String code) throws SQLException\n{\nreturn null;\n}\n""}","java:S1135
"
"{""function"": ""public Collection<Carrello> doRetrieveAll() throws SQLException\n{\nreturn null;\n}\n""}","{""function"": ""public Collection<Carrello> doRetrieveAll() throws SQLException\n{\nConnection con = null;\nPreparedStatement psOrdine = null;\nPreparedStatement psHa = null;\nResultSet rsOrdine = null;\nResultSet rsHa = null;\nCollection<Carrello> ordini = new LinkedList<>();\nString sqlOrdine = ""SELECT * FROM ORDINE"";\nString sqlHa = ""SELECT codiceScarpa FROM ha WHERE codiceOrdine=?"";\ntry {\ncon = ds.getConnection();\npsHa = con.prepareStatement(sqlHa);\npsOrdine = con.prepareStatement(sqlOrdine);\nrsOrdine = psOrdine.executeQuery();\nwhile (rsOrdine.next()) {\npsHa.setInt(1, rsOrdine.getInt(""codice""));\nrsHa = psHa.executeQuery();\nCarrello carrello = new Carrello();\nwhile (rsHa.next()) {\nScarpa s = new Scarpa();\ns.setId(rsHa.getInt(""codiceScarpa""));\ncarrello.getScarpe().add(s);\n}\ncarrello.setCodice(rsOrdine.getInt(""codice""));\ncarrello.setUsername(rsOrdine.getString(""username""));\nordini.add(carrello);\n}\n} finally {\ntry {\nif (psOrdine != null)\npsOrdine.close();\nif (psHa != null)\npsHa.close();\n} finally {\nif (con != null)\ncon.close();\n}\n}\nreturn ordini;\n}\n""}","java:S1168
"
"{""function"": ""protected void doPost(HttpServletRequest request, HttpServletResponse response) throws ServletException, IOException\n{\nString id = request.getParameter(""id"");\nfor (Part part : request.getParts()) {\nString fileName = part.getSubmittedFileName();\nif (fileName != null && !fileName.equals("""")) {\ntry {\nFotoControl.updatePhoto(id, part.getInputStream());\n} catch (SQLException sqlException) {\nSystem.out.println(sqlException);\n}\n}\n}\nresponse.sendRedirect(request.getContextPath() + ""/admin/add.jsp"");\n}\n""}","{""function"": ""protected void doPost(HttpServletRequest request, HttpServletResponse response) throws ServletException, IOException\n{\nString id = request.getParameter(""id"");\nfor (Part part : request.getParts()) {\nString fileName = part.getSubmittedFileName();\nif (fileName != null && !fileName.equals("""")) {\ntry {\nFotoControl.updatePhoto(id, part.getInputStream());\n} catch (SQLException sqlException) {\n}\n}\n}\nresponse.sendRedirect(request.getContextPath() + ""/admin/add.jsp"");\n}\n""}","java:S106
"
